genre_id,artist_id
Q9778,Q223161
Q9778,Q185828
Q9778,Q312674
Q9778,Q104326
Q9778,Q154556
Q9778,Q44892
Q9778,Q153616
Q9778,Q208507
Q111387914,Q1209703
Q111387914,Q936480
Q111387914,Q7169608
Q193207,Q223161
Q193207,Q569003
Q193207,Q3108903
Q193207,Q728029
Q193207,Q11413264
Q193207,Q912800
Q193207,Q924993
Q193207,Q505747
Q213121,Q458828
Q213121,Q38257
Q213121,Q432302
Q213121,Q273652
Q213121,Q1338162
Q213121,Q3512059
Q213121,Q153172
Q213121,Q234716
Q98528207,Q192609
Q98528207,Q38257
Q98528207,Q274562
Q98528207,Q187576
Q112593424,Q467031
Q112593424,Q198546
Q16625659,Q2587969
Q16625659,Q717239
Q16625659,Q714470
Q98528139,Q7073354
Q98528139,Q1976619
Q98528139,Q714470
Q98528139,Q2385299
Q756956,Q3629037
Q756956,Q1107195
Q756956,Q1146899
Q756956,Q913245
Q756956,Q3119760
Q48971892,Q193172
Q48971892,Q376651
Q112118786,Q480084
Q12671486,Q393463
Q113447222,Q1785313
Q113447222,Q16218886
Q112159506,Q705221
Q112159506,Q11413264
Q112159506,Q22341183
Q112159506,Q96187424
Q112159506,Q95494604
Q79784514,Q4805856
Q79784514,Q705382
Q79784514,Q546592
Q79784514,Q104326
Q79784514,Q168015
Q79784514,Q44892
Q79784514,Q153616
Q79784514,Q153172
Q530750,Q700817
Q530750,Q168015
Q530750,Q879793
Q530750,Q2136387
Q530750,Q714470
Q530750,Q153616
Q851213,Q505476
Q851213,Q185828
Q851213,Q8298
Q851213,Q49009
Q851213,Q205322
Q851213,Q19004
Q851213,Q208507
Q851213,Q7256860
Q217597,Q316872
Q217597,Q2256420
Q217597,Q939429
Q217597,Q1258824
Q217597,Q705532
Q217597,Q1569035
Q217597,Q1760152
Q217597,Q1701447
Q4049849,Q5197720
Q4049849,Q67311
Q4049849,Q776170
Q4049849,Q7252901
Q372103,Q701692
Q372103,Q318322
Q372103,Q527787
Q372103,Q1470010
Q372103,Q454479
Q372103,Q580943
Q372103,Q371535
Q1890098,Q1873785
Q1890098,Q2992469
Q1890098,Q1786810
Q828243,Q619710
Q828243,Q593809
Q828243,Q1143750
Q828243,Q1656463
Q828243,Q569462
Q828243,Q480043
Q828243,Q473784
Q828243,Q727124
Q655514,Q5155511
Q655514,Q3020812
Q655514,Q1384772
Q655514,Q1165645
Q655514,Q15730804
Q655514,Q1333817
Q655514,Q888972
Q655514,Q7670542
Q20502,Q185828
Q20502,Q205322
Q20502,Q549373
Q20502,Q1375814
Q20502,Q1351604
Q20502,Q1758822
Q20502,Q286750
Q20502,Q1253645
Q1071961,Q1154222
Q1071961,Q2080533
Q1071961,Q205322
Q1071961,Q527564
Q1071961,Q1375814
Q1071961,Q1351604
Q1071961,Q1934666
Q1071961,Q1388088
Q928825,Q293169
Q928825,Q357476
Q928825,Q3183166
Q928825,Q549373
Q928825,Q1341804
Q928825,Q1758822
Q928825,Q3517940
Q928825,Q3993250
Q97277483,Q293169
Q97277483,Q357476
Q97277483,Q3183166
Q97277483,Q549373
Q97277483,Q3993250
Q874038,Q2963160
Q874038,Q205322
Q874038,Q1691598
Q874038,Q549373
Q874038,Q1375814
Q874038,Q369822
Q874038,Q1670319
Q108555812,Q59241691
Q108555812,Q87800198
Q108555812,Q60763800
Q341364,Q271283
Q341364,Q300430
Q341364,Q678099
Q341364,Q2019573
Q341364,Q286750
Q341364,Q1522392
Q116875230,Q357476
Q116875230,Q1691598
Q116875230,Q6408607
Q116875230,Q3517940
Q3056538,Q1758822
Q2465085,Q3108903
Q2465085,Q3317284
Q2465085,Q7634434
Q2465085,Q2718300
Q2465085,Q168031
Q2465085,Q741316
Q2465085,Q924993
Q4852979,Q4925240
Q4852979,Q16241410
Q4852979,Q7356279
Q3032212,Q880116
Q3032212,Q467129
Q3032212,Q249141
Q3032212,Q456964
Q3032212,Q236497
Q3032212,Q465302
Q3032212,Q470066
Q3032212,Q444309
Q30917612,Q238051
Q30917612,Q880116
Q30917612,Q1034857
Q30917612,Q1344793
Q601235,Q5300654
Q601235,Q557465
Q601235,Q42023
Q601235,Q1783772
Q601235,Q2409676
Q601235,Q1522392
Q2702280,Q238051
Q2702280,Q880116
Q2702280,Q704963
Q2702280,Q7634434
Q202925,Q1164771
Q202925,Q6313495
Q202925,Q87996
Q106522098,Q6395755
Q106522098,Q104772823
Q106522098,Q133687181
Q915152,Q49009
Q915152,Q155141
Q915152,Q4217170
Q915152,Q7425068
Q915152,Q277479
Q915152,Q556024
Q2748817,Q3011279
Q2748817,Q15912617
Q2748817,Q109451283
Q1521688,Q323171
Q1521688,Q15912617
Q1521688,Q5205330
Q1521688,Q1228447
Q24885387,Q16724355
Q24885387,Q1154271
Q24885387,Q22905998
Q24885387,Q41556490
Q1585015,Q6558178
Q1585015,Q124813072
Q1585015,Q1322694
Q28458027,Q89689870
Q949369,Q223167
Q949369,Q3090771
Q949369,Q714423
Q949369,Q3106906
Q598593,Q5336444
Q598593,Q1544666
Q598593,Q16733999
Q598593,Q13581065
Q598593,Q3327146
Q598593,Q111050304
Q598593,Q7704407
Q122474257,Q55365
Q122474257,Q114596815
Q1455292,Q513964
Q1455292,Q223167
Q1455292,Q36107
Q1455292,Q543981
Q1455292,Q185828
Q1455292,Q1425262
Q1455292,Q290167
Q1931555,Q423707
Q1931555,Q102616
Q1931555,Q779451
Q1931555,Q290270
Q1931555,Q132415
Q627906,Q311842
Q627906,Q706820
Q627906,Q49009
Q627906,Q1811235
Q627906,Q1517721
Q627906,Q49010
Q113493820,Q1154202
Q113493820,Q982784
Q113493820,Q453691
Q113493820,Q734098
Q113493820,Q455732
Q2365784,Q1140997
Q2365784,Q450797
Q2365784,Q7205605
Q2365784,Q10363097
Q2365784,Q111058603
Q2365784,Q3101707
Q1228230,Q349041
Q1228230,Q1089237
Q1228230,Q923731
Q1228230,Q2201526
Q1228230,Q3414998
Q1228230,Q715853
Q11691380,Q1453940
Q11691380,Q20615
Q11691380,Q1355154
Q11691380,Q12370465
Q11691380,Q21084
Q11691380,Q49010
Q11691380,Q21088
Q20047305,Q15623395
Q20047305,Q16212084
Q20047305,Q7806850
Q20047305,Q16325425
Q956717,Q710539
Q956717,Q892422
Q956717,Q4943439
Q956717,Q3843061
Q956717,Q3644372
Q956717,Q7670560
Q956717,Q7845381
Q956717,Q892409
Q135369460,Q5205387
Q135369460,Q28039416
Q108297203,Q136799193
Q388100,Q16215736
Q388100,Q19571978
Q388100,Q126415337
Q106634944,Q965455
Q106634944,Q715890
Q106634944,Q505476
Q106634944,Q260214
Q106634944,Q400094
Q106634944,Q20709
Q15300817,Q16319658
Q15300817,Q5807252
Q15300817,Q923731
Q15300817,Q19816655
Q15300817,Q14544318
Q15300817,Q260214
Q15300817,Q1067714
Q15300817,Q1891477
Q80725127,Q110128013
Q80725127,Q105726987
Q80725127,Q109599010
Q80725127,Q18158295
Q80725127,Q64853384
Q85741139,Q25706797
Q85741139,Q109106572
Q85741139,Q77297835
Q85741139,Q127378817
Q85741139,Q121746347
Q85741139,Q121820034
Q85741139,Q109406884
Q85741139,Q109981068
Q116745991,Q112861798
Q27345019,Q108633063
Q27345019,Q5107266
Q27345019,Q108529670
Q27345019,Q28053503
Q27345019,Q5398138
Q27345019,Q48976227
Q85748774,Q28007321
Q85748774,Q108798079
Q85748774,Q109296810
Q85748774,Q27306126
Q29973057,Q28039875
Q29973057,Q96375829
Q29973057,Q48008057
Q18342587,Q18943660
Q18342587,Q15041224
Q18342587,Q16845512
Q18342587,Q18857432
Q18342587,Q19845354
Q18342587,Q16231940
Q18342587,Q20972330
Q18342587,Q27924886
Q20021059,Q20851250
Q20021059,Q2464558
Q20021059,Q16667903
Q20021059,Q17151338
Q106493832,Q55006974
Q106493832,Q83688261
Q126175574,Q64009886
Q126175574,Q123982943
Q105637110,Q612068
Q116296482,Q52160540
Q116296482,Q20311234
Q116296482,Q21484134
Q116296482,Q107452045
Q116296482,Q23664961
Q173844,Q432268
Q173844,Q467129
Q173844,Q249141
Q173844,Q470066
Q173844,Q444309
Q170611,Q816535
Q170611,Q962197
Q170611,Q923104
Q170611,Q506851
Q170611,Q366714
Q170611,Q923090
Q170611,Q378876
Q170611,Q582813
Q526463,Q962197
Q526463,Q923104
Q526463,Q1258824
Q526463,Q327703
Q526463,Q366714
Q526463,Q923090
Q526463,Q110808631
Q341395,Q2275190
Q341395,Q668538
Q341395,Q819299
Q341395,Q378876
Q106522080,Q19654855
Q106522080,Q1798055
Q106522080,Q928905
Q106522080,Q15808423
Q106522080,Q783669
Q106522080,Q104520548
Q112663444,Q5192236
Q112663444,Q710574
Q112663444,Q2198055
Q112663444,Q2558967
Q29480448,Q130582693
Q29480448,Q66151972
Q29480448,Q28803195
Q29480448,Q93343
Q29480448,Q2368531
Q16951912,Q2368531
Q1430587,Q5588
Q1430587,Q1498245
Q1430587,Q132415
Q1430587,Q378876
Q1430587,Q582813
Q1430587,Q820968
Q107697221,Q261641
Q107697221,Q677304
Q107697221,Q67372
Q107697221,Q506851
