genre,country
http://www.wikidata.org/entity/Q469630,Canada
http://www.wikidata.org/entity/Q475221,Canada
http://www.wikidata.org/entity/Q483352,Canada
http://www.wikidata.org/entity/Q487914,Canada
http://www.wikidata.org/entity/Q616679,Canada
http://www.wikidata.org/entity/Q372103,Canada
http://www.wikidata.org/entity/Q183862,Canada
http://www.wikidata.org/entity/Q209137,Canada
http://www.wikidata.org/entity/Q502535,Norway
http://www.wikidata.org/entity/Q547137,Spain
http://www.wikidata.org/entity/Q579955,Spain
http://www.wikidata.org/entity/Q598593,Spain
http://www.wikidata.org/entity/Q465978,South America
http://www.wikidata.org/entity/Q132438,Norway
http://www.wikidata.org/entity/Q213149,Norway
http://www.wikidata.org/entity/Q278357,Japan
http://www.wikidata.org/entity/Q131425,Japan
http://www.wikidata.org/entity/Q131578,Japan
http://www.wikidata.org/entity/Q135637,Japan
http://www.wikidata.org/entity/Q420883,United States
http://www.wikidata.org/entity/Q429264,United States
http://www.wikidata.org/entity/Q431415,United States
http://www.wikidata.org/entity/Q438476,United States
http://www.wikidata.org/entity/Q438503,United States
http://www.wikidata.org/entity/Q447962,United States
http://www.wikidata.org/entity/Q458480,United States
http://www.wikidata.org/entity/Q460674,United States
http://www.wikidata.org/entity/Q465978,United States
http://www.wikidata.org/entity/Q475221,United States
http://www.wikidata.org/entity/Q483251,United States
http://www.wikidata.org/entity/Q483352,United States
http://www.wikidata.org/entity/Q484344,United States
http://www.wikidata.org/entity/Q484641,United States
http://www.wikidata.org/entity/Q485395,United States
http://www.wikidata.org/entity/Q181861,Japan
http://www.wikidata.org/entity/Q193207,Japan
http://www.wikidata.org/entity/Q226887,Japan
http://www.wikidata.org/entity/Q236932,United States
http://www.wikidata.org/entity/Q241662,United States
http://www.wikidata.org/entity/Q245296,United States
http://www.wikidata.org/entity/Q253137,United States
http://www.wikidata.org/entity/Q255406,United States
http://www.wikidata.org/entity/Q263734,United States
http://www.wikidata.org/entity/Q268253,United States
http://www.wikidata.org/entity/Q310871,United States
http://www.wikidata.org/entity/Q327547,United States
http://www.wikidata.org/entity/Q341364,United States
http://www.wikidata.org/entity/Q377910,United States
http://www.wikidata.org/entity/Q378988,United States
http://www.wikidata.org/entity/Q379671,United States
http://www.wikidata.org/entity/Q383982,United States
http://www.wikidata.org/entity/Q387916,United States
http://www.wikidata.org/entity/Q486365,United States
http://www.wikidata.org/entity/Q487914,United States
http://www.wikidata.org/entity/Q515074,United States
http://www.wikidata.org/entity/Q516568,United States
http://www.wikidata.org/entity/Q526463,United States
http://www.wikidata.org/entity/Q529742,United States
http://www.wikidata.org/entity/Q534606,United States
http://www.wikidata.org/entity/Q542703,United States
http://www.wikidata.org/entity/Q217191,United States
http://www.wikidata.org/entity/Q220830,United States
http://www.wikidata.org/entity/Q221934,United States
http://www.wikidata.org/entity/Q118120,Ireland
http://www.wikidata.org/entity/Q208341,Spain
http://www.wikidata.org/entity/Q132438,England
http://www.wikidata.org/entity/Q9764,Spain
http://www.wikidata.org/entity/Q608862,Japan
http://www.wikidata.org/entity/Q252626,Spain
http://www.wikidata.org/entity/Q3071,United States
http://www.wikidata.org/entity/Q4797,United States
http://www.wikidata.org/entity/Q6010,United States
http://www.wikidata.org/entity/Q7749,United States
http://www.wikidata.org/entity/Q8341,United States
http://www.wikidata.org/entity/Q9759,United States
http://www.wikidata.org/entity/Q10922,United States
http://www.wikidata.org/entity/Q10926,United States
http://www.wikidata.org/entity/Q11363,United States
http://www.wikidata.org/entity/Q11365,United States
http://www.wikidata.org/entity/Q11366,United States
http://www.wikidata.org/entity/Q11399,United States
http://www.wikidata.org/entity/Q11401,United States
http://www.wikidata.org/entity/Q20378,United States
http://www.wikidata.org/entity/Q20502,United States
http://www.wikidata.org/entity/Q20903,United States
http://www.wikidata.org/entity/Q21092,United States
http://www.wikidata.org/entity/Q27190,United States
http://www.wikidata.org/entity/Q37073,United States
http://www.wikidata.org/entity/Q38656,United States
http://www.wikidata.org/entity/Q41343,United States
http://www.wikidata.org/entity/Q46046,United States
http://www.wikidata.org/entity/Q54365,United States
http://www.wikidata.org/entity/Q63885,United States
http://www.wikidata.org/entity/Q83270,United States
http://www.wikidata.org/entity/Q83440,United States
http://www.wikidata.org/entity/Q105513,United States
http://www.wikidata.org/entity/Q105527,United States
http://www.wikidata.org/entity/Q131272,United States
http://www.wikidata.org/entity/Q141459,United States
http://www.wikidata.org/entity/Q164444,United States
http://www.wikidata.org/entity/Q166813,United States
http://www.wikidata.org/entity/Q170611,United States
http://www.wikidata.org/entity/Q177447,United States
http://www.wikidata.org/entity/Q180268,United States
http://www.wikidata.org/entity/Q181010,United States
http://www.wikidata.org/entity/Q181861,United States
http://www.wikidata.org/entity/Q183504,United States
http://www.wikidata.org/entity/Q183862,United States
http://www.wikidata.org/entity/Q185162,United States
http://www.wikidata.org/entity/Q185652,United States
http://www.wikidata.org/entity/Q186472,United States
http://www.wikidata.org/entity/Q187760,United States
http://www.wikidata.org/entity/Q188534,United States
http://www.wikidata.org/entity/Q188539,United States
http://www.wikidata.org/entity/Q193355,United States
http://www.wikidata.org/entity/Q202925,United States
http://www.wikidata.org/entity/Q203720,United States
http://www.wikidata.org/entity/Q206159,United States
http://www.wikidata.org/entity/Q208239,United States
http://www.wikidata.org/entity/Q208494,United States
http://www.wikidata.org/entity/Q209137,United States
http://www.wikidata.org/entity/Q211573,United States
http://www.wikidata.org/entity/Q211756,United States
http://www.wikidata.org/entity/Q211781,United States
http://www.wikidata.org/entity/Q212024,United States
http://www.wikidata.org/entity/Q212952,United States
http://www.wikidata.org/entity/Q213121,United States
http://www.wikidata.org/entity/Q213714,United States
http://www.wikidata.org/entity/Q546206,United States
http://www.wikidata.org/entity/Q546359,United States
http://www.wikidata.org/entity/Q572901,United States
http://www.wikidata.org/entity/Q574651,United States
http://www.wikidata.org/entity/Q577080,United States
http://www.wikidata.org/entity/Q584752,United States
http://www.wikidata.org/entity/Q592330,United States
http://www.wikidata.org/entity/Q598593,United States
http://www.wikidata.org/entity/Q601235,United States
http://www.wikidata.org/entity/Q602646,United States
http://www.wikidata.org/entity/Q606089,United States
http://www.wikidata.org/entity/Q606393,United States
http://www.wikidata.org/entity/Q613408,United States
http://www.wikidata.org/entity/Q616679,United States
http://www.wikidata.org/entity/Q617240,United States
http://www.wikidata.org/entity/Q632393,United States
http://www.wikidata.org/entity/Q648311,United States
http://www.wikidata.org/entity/Q649634,United States
http://www.wikidata.org/entity/Q649823,United States
http://www.wikidata.org/entity/Q650316,United States
http://www.wikidata.org/entity/Q655514,United States
http://www.wikidata.org/entity/Q659599,United States
http://www.wikidata.org/entity/Q341396,Belgium
http://www.wikidata.org/entity/Q372103,Belgium
http://www.wikidata.org/entity/Q465978,Switzerland
http://www.wikidata.org/entity/Q253918,Sweden
http://www.wikidata.org/entity/Q481900,Europe
http://www.wikidata.org/entity/Q483251,Europe
http://www.wikidata.org/entity/Q484179,Europe
http://www.wikidata.org/entity/Q486415,Europe
http://www.wikidata.org/entity/Q517415,Europe
http://www.wikidata.org/entity/Q533914,Europe
http://www.wikidata.org/entity/Q470611,Italy
http://www.wikidata.org/entity/Q483740,Turkey
http://www.wikidata.org/entity/Q252833,Switzerland
http://www.wikidata.org/entity/Q648283,Poland
http://www.wikidata.org/entity/Q324617,Italy
http://www.wikidata.org/entity/Q336567,Italy
http://www.wikidata.org/entity/Q216961,Belgium
http://www.wikidata.org/entity/Q252833,Austria
http://www.wikidata.org/entity/Q464129,Mexico
http://www.wikidata.org/entity/Q260095,Netherlands
http://www.wikidata.org/entity/Q339906,Netherlands
http://www.wikidata.org/entity/Q341396,Netherlands
http://www.wikidata.org/entity/Q213149,Finland
http://www.wikidata.org/entity/Q204067,Sweden
http://www.wikidata.org/entity/Q213149,Sweden
http://www.wikidata.org/entity/Q496929,France
http://www.wikidata.org/entity/Q513357,France
http://www.wikidata.org/entity/Q547137,Portugal
http://www.wikidata.org/entity/Q460674,United Kingdom
http://www.wikidata.org/entity/Q469343,United Kingdom
http://www.wikidata.org/entity/Q483251,United Kingdom
http://www.wikidata.org/entity/Q483352,United Kingdom
http://www.wikidata.org/entity/Q484179,United Kingdom
http://www.wikidata.org/entity/Q484641,United Kingdom
http://www.wikidata.org/entity/Q485395,United Kingdom
http://www.wikidata.org/entity/Q486365,United Kingdom
http://www.wikidata.org/entity/Q487914,United Kingdom
http://www.wikidata.org/entity/Q487965,United Kingdom
http://www.wikidata.org/entity/Q284543,United Kingdom
http://www.wikidata.org/entity/Q325504,United Kingdom
http://www.wikidata.org/entity/Q339906,United Kingdom
http://www.wikidata.org/entity/Q370515,United Kingdom
http://www.wikidata.org/entity/Q370778,United Kingdom
http://www.wikidata.org/entity/Q372103,United Kingdom
